found,as_link,r_link,sid,rid,subject,type
True,True,True,1857,1046,"College sports--Maryland--Annapolis",topical
True,True,True,1858,955,"Commission merchants--Maryland--Baltimore",topical
True,True,True,1859,1046,"Football players--Maryland--Annapolis",topical
True,True,True,1860,580,"Private schools--Maryland--Baltimore",topical
True,True,True,1861,361,"School integration--Maryland--Baltimore",topical
True,True,True,1862,2373,"Shipbuilding--Maryland--Annapolis",topical
True,True,True,1863,398,"Teachers--Maryland--Baltimore",topical
True,True,True,1864,2373,"Yacht racing--Maryland--Annapolis",topical
True,True,True,1865,755,"Artists--Massachusetts--Boston",topical
True,True,True,1866,702,"Farm life--Massachusetts--Carver",topical
True,True,True,1867,702,"Gardening--Massachusetts--Carver",topical
True,True,True,1868,813,"Soldiers--Massachusetts--Danvers",topical
True,True,True,1869,616,"Political candidates--Mississippi--Vicksburg",topical
True,True,True,1870,2335,"College trustees--Nevada--Incline Village",topical
True,True,True,1871,955,"Commission merchants--New York (State)--New York",topical
True,True,True,1872,2388,"Deans (Education)--New York (State)--Glen Cove",topical
True,True,True,1873,713,"Festivals--New York (State)--New York",topical
True,True,True,1874,694,"Journalists--New York (State)--New York",topical
True,True,True,1875,2242,"Missionaries--New York (State)--Albany",topical
True,True,True,1876,463,"Real estate development--New York (State)--New York",topical
True,True,True,1877,2330,"Sailing--New York (State)--Long Island",topical
True,True,True,1878,2242,"Teachers--New York (State)--Albany",topical
True,True,True,1879,460,"Lawyers--Salaries, etc.--North Carolina",topical
True,True,True,1880,1566,"Sailors--Salaries, etc.--United States",topical
True,True,True,1881,551,"Sterilization--Testing--Methodology",topical
True,True,True,1882,744,"Agriculture--Florida--Tampa",topical
True,True,True,1883,369,"Agriculture--New York (State)--Orange County",topical
True,True,True,1884,778,"Agriculture--Tennessee--Somerville",topical
True,True,True,1885,390,"Agriculture--United States--Societies, etc.",topical
True,True,True,1886,725,"Americans--China--Shanghai",topical
True,True,True,1887,701,"Education--Alabama--Baldwin County",topical
True,True,True,1888,804,"Floods--China--Shanghai",topical
True,True,True,1889,838,"Governors--North Carolina--Election",topical
True,True,True,1889,438,"Governors--North Carolina--Election",topical
True,True,True,1889,389,"Governors--North Carolina--Election",topical
True,True,True,1889,415,"Governors--North Carolina--Election",topical
True,True,True,1889,431,"Governors--North Carolina--Election",topical
True,True,True,1891,644,"Medicine--Practice--Washington, D.C.",topical
True,True,True,1892,816,"Plantations--Virginia--Mecklenburg County",topical
True,True,True,1893,689,"Real property--Virginia--Norfolk County",topical
True,True,True,1894,517,"Reconstruction (U.S. history, 1865-1877)--Georgia--Quitman",topical
True,True,True,1895,1119,"Stevedores--Labor unions--United States.",topical
True,True,True,1896,506,"Teachers--Texas--Moody",topical
True,True,True,1897,825,"Theater--Japan--Tokyo",topical
True,True,True,1898,844,"Tobacco industry--North Carolina--Person County",topical
True,True,True,1899,886,"Tobacco industry--North Carolina--Wilson",topical
True,True,True,1899,603,"Tobacco industry--North Carolina--Wilson",topical
True,True,True,1900,453,"Women educators--United States--Societies, etc.",topical
True,True,True,1901,516,"World War, 1914-1918--War work--Red Cross",topical
True,True,True,1902,992,"World War, 1939-1945--Campaigns--Guadalcanal",topical
True,True,True,1903,1041,"World War, 1939-1945--Pacific Ocean--Naval operations, American",topical
True,True,True,1903,1042,"World War, 1939-1945--Pacific Ocean--Naval operations, American",topical
True,True,True,1903,1036,"World War, 1939-1945--Pacific Ocean--Naval operations, American",topical
True,True,True,1904,1393,"Bonds--North Carolina--Edgecombe County--19th century",topical
True,True,True,1905,1412,"County courts--North Carolina--Edgecombe County--19th century",topical
True,True,True,1906,1412,"Legal services--North Carolina--Edgecombe County--19th century",topical
True,True,True,1907,953,"Rent--North Carolina--Lenoir County--19th century",topical
True,True,True,1908,2452,"Construction projects--North Carolina--Greenville--21st century",topical
True,True,True,1908,2457,"Construction projects--North Carolina--Greenville--21st century",topical
True,True,True,1908,2454,"Construction projects--North Carolina--Greenville--21st century",topical
True,True,True,1908,2453,"Construction projects--North Carolina--Greenville--21st century",topical
True,True,True,1908,2451,"Construction projects--North Carolina--Greenville--21st century",topical
True,True,True,1908,2450,"Construction projects--North Carolina--Greenville--21st century",topical
True,True,True,1908,2458,"Construction projects--North Carolina--Greenville--21st century",topical
True,True,True,1909,955,"Slaves--Medical care--North Carolina--Chowan County",topical
True,True,True,1910,379,"African Americans-- North Carolina--Greenville--Correspondence",topical
True,True,True,1911,727,"Soldiers--North Carolina--Guilford County--Correspondence",topical
True,True,True,1912,567,"Tobacco--Prices--North Carolina--Greenville",topical
True,True,True,1913,364,"Deeds--North Carolina--Beaufort County--History",topical
True,True,True,1914,364,"Deeds--North Carolina--Bladen County--History",topical
True,True,True,1915,373,"Deeds--North Carolina--Brunswick County--History",topical
True,True,True,1916,373,"Family farms--North Carolina--Brunswick County--History",topical
True,True,True,1917,367,"Account books--North Carolina--Craven County--History",topical
True,True,True,1918,419,"Deeds--North Carolina--Craven County--History",topical
True,True,True,1919,367,"General stores--North Carolina--Craven County--History",topical
True,True,True,1920,592,"Family farms--North Carolina--Davidson County--History",topical
True,True,True,1921,527,"Presbyterian Church--North Carolina--Duplin County--History",topical
True,True,True,1922,684,"Private schools--North Carolina--Elizabeth City--History",topical
True,True,True,1923,684,"Public schools--North Carolina--Elizabeth City--History",topical
True,True,True,1924,343,"Teachers colleges--North Carolina--Greenville--History",topical
True,True,True,1925,635,"Private schools--North Carolina--Hertford County--History",topical
True,True,True,1926,635,"Surveying--North Carolina--Hertford County--History",topical
True,True,True,1927,381,"Public schools--North Carolina--Nash County--History",topical
True,True,True,1928,351,"Private schools--North Carolina--Perquimans County--History",topical
True,True,True,1928,341,"Private schools--North Carolina--Perquimans County--History",topical
True,True,True,1929,351,"Society of Friends--North Carolina--Perquimans County--History",topical
True,True,True,1929,341,"Society of Friends--North Carolina--Perquimans County--History",topical
True,True,True,1930,421,"Deeds--North Carolina--Pitt County--History",topical
True,True,True,1931,604,"Hospitals--North Carolina--Pitt County--History",topical
True,True,True,1932,635,"Robbery--North Carolina--Plymouth--History",topical
True,True,True,1933,359,"Shipping--North Carolina--Washington--History",topical
True,True,True,1934,394,"Freemasonry--North Carolina--Wilmington--History",topical
True,True,True,1935,398,"Medicine--North Carolina--Wilmington--History",topical
True,True,True,1936,635,"Smallpox--North Carolina--Windsor--History",topical
True,True,True,1937,614,"Secession--South Carolina--Personal narratives--History and criticism",topical
True,True,True,1938,2288,"Tobacco industry--China--Employees--Interviews",topical
True,True,True,1938,2292,"Tobacco industry--China--Employees--Interviews",topical
True,True,True,1938,2301,"Tobacco industry--China--Employees--Interviews",topical
True,True,True,1938,2302,"Tobacco industry--China--Employees--Interviews",topical
True,True,True,1938,2286,"Tobacco industry--China--Employees--Interviews",topical
True,True,True,1939,2472,"Teachers--North Carolina--Greenville--Interviews",topical
True,True,True,1939,2465,"Teachers--North Carolina--Greenville--Interviews",topical
True,True,True,1939,2404,"Teachers--North Carolina--Greenville--Interviews",topical
True,True,True,1940,2431,"Elementary school teachers--North Carolina--Harnett County--Interviews",topical
True,True,True,1941,2435,"African American teachers--North Carolina--Johnston County--Interviews",topical
True,True,True,1942,2469,"Veterans--North Carolina--Lenoir County--Interviews",topical
True,True,True,1943,2446,"Secretaries--North Carolina--Washington--Interviews",topical
True,True,True,1944,2444,"Science teachers--North Carolina--Washington County--Interviews",topical
True,True,True,1945,2433,"African American teachers--North Carolina--Wilson County--Interviews",topical
True,True,True,1946,2433,"High school teachers--North Carolina--Wilson County--Interviews",topical
True,True,True,1947,655,"Floods--North Carolina--Fayetteville--Photographs",topical
True,True,True,1948,1397,"Buildings--North Carolina--Greenville--Photographs",topical
True,True,True,1949,1397,"Local officials and employees--North Carolina--Greenville--Photographs",topical
True,True,True,1950,1397,"Public safety--North Carolina--Greenville--Photographs",topical
True,True,True,1951,1397,"Public works--North Carolina--Greenville--Photographs",topical
True,True,True,1952,1397,"Sanitation--North Carolina--Greenville--Photographs",topical
True,True,True,1953,1175,"Public schools--North Carolina--Pitt County--Photographs",topical
True,True,True,1954,1359,"Resorts--North Carolina--Seven Springs--Photographs",topical
True,True,True,1955,456,"World War, 1914-1918--Casualties--North Carolina--Pitt County",topical
True,True,True,1956,866,"Schools--North Carolina--Lenoir County--Registers",topical
True,True,True,1957,866,"Students--North Carolina--Lenoir County--Registers",topical
True,True,True,1958,866,"Teachers--North Carolina--Lenoir County--Registers",topical
True,True,True,1959,1193,"Slaves--North Carolina--Pasquotank County--Registers",topical
True,True,True,1960,561,"African Americans--North Carolina--Edgecombe County--Social life and customs",topical
True,True,True,1961,672,"Women--North Carolina--Enfield--Societies and clubs",topical
True,True,True,1962,751,"Women--North Carolina--Greenville--Societies and clubs",topical
True,True,True,1962,773,"Women--North Carolina--Greenville--Societies and clubs",topical
True,True,True,1962,746,"Women--North Carolina--Greenville--Societies and clubs",topical
True,True,True,1963,850,"Agricultural exhibitions--Management--North Carolina--Tarboro",topical
True,True,True,1964,630,"School children--Nutrition--Government policy--United States",topical
True,True,True,1965,953,"Cotton--Prices--North Carolina--19th century",topical
True,True,True,1966,2270,"Missions--Study and teaching--Congo (Democratic Republic)--20th century",topical
True,True,True,1967,660,"African Americans--Education--North Carolina--Craven County",topical
True,True,True,1968,786,"Medicine--Practice--North Carolina--Durham",topical
True,True,True,1969,815,"Medicine, Rural--Practice--North Carolina--Goldsboro",topical
True,True,True,1969,401,"Medicine, Rural--Practice--North Carolina--Goldsboro",topical
True,True,True,1970,2463,"Department stores--Employees--North Carolina--Greenville",topical
True,True,True,1971,181,"Indians of North America--Education (Higher)--North Carolina--Greenville",topical
True,True,True,1972,1391,"Women--Political activity--North Carolina--Greenville",topical
True,True,True,1973,455,"African Americans--Education--North Carolina--Halifax County",topical
True,True,True,1974,342,"Agriculture--North Carolina--Edgecombe County--History",topical
True,True,True,1975,459,"Tobacco industry--Employees--Supply and demand--History",topical
True,True,True,1976,2471,"Education--North Carolina--Robeson County--History",topical
True,True,True,1977,375,"Real property--North Carolina--Pitt County--History",topical
True,True,True,1978,734,"Revolutionaries--North Carolina--History--18th century",topical
True,True,True,1979,395,"Diseases--Louisiana--History--19th century",topical
True,True,True,1980,626,"Americans--Mexico--History--19th century",topical
True,True,True,1981,534,"Labor--Mississippi--History--19th century",topical
True,True,True,1982,511,"Cotton trade--North Carolina--History--19th century",topical
True,True,True,1983,370,"Courts--North Carolina--History--19th century",topical
True,True,True,1984,471,"Elections--North Carolina--History--19th century",topical
True,True,True,1985,719,"Land speculation--North Carolina--History--19th century",topical
True,True,True,1986,373,"Lumber trade--North Carolina--History--19th century",topical
True,True,True,1987,526,"Millerite movement--North Carolina--History--19th century",topical
True,True,True,1988,353,"Physicians--North Carolina--History--19th century",topical
True,True,True,1989,376,"Political campaigns--North Carolina--History--19th century",topical
True,True,True,1989,353,"Political campaigns--North Carolina--History--19th century",topical
True,True,True,1990,483,"Politicians--North Carolina--History--19th century",topical
True,True,True,1991,483,"Practice of law--North Carolina--History--19th century",topical
True,True,True,1992,347,"Printing--North Carolina--History--19th century",topical
True,True,True,1993,483,"Railroads--North Carolina--History--19th century",topical
True,True,True,1993,2324,"Railroads--North Carolina--History--19th century",topical
True,True,True,1994,665,"Shingle industry--North Carolina--History--19th century",topical
True,True,True,1995,635,"Shipping--North Carolina--History--19th century",topical
True,True,True,1996,457,"Slavery--North Carolina--History--19th century",topical
True,True,True,1996,699,"Slavery--North Carolina--History--19th century",topical
True,True,True,1997,505,"Women--North Carolina--History--19th century",topical
True,True,True,1998,543,"Yellow fever--North Carolina--History--19th century",topical
True,True,True,1998,633,"Yellow fever--North Carolina--History--19th century",topical
True,True,True,1999,353,"Diseases--Southern States--History--19th century",topical
True,True,True,2000,601,"African American soldiers--Health and hygiene--History--19th century",topical
True,True,True,2000,584,"African American soldiers--Health and hygiene--History--19th century",topical
True,True,True,2001,664,"Diseases--United States--History--19th century",topical
True,True,True,2002,987,"Medicine, Naval--United States--History--19th century",topical
True,True,True,2003,473,"Iron industry and trade--Georgia--History--19th century",topical
True,True,True,2004,534,"Cotton trade--Alabama--History--19th century",topical
True,True,True,2005,523,"Prices--Alabama--History--19th century",topical
True,True,True,2006,481,"Agricultural prices--Florida--History--19th century",topical
True,True,True,2007,481,"Slave insurrections--Florida--History--19th century",topical
True,True,True,2008,534,"Cotton trade--Virginia--History--19th century",topical
True,True,True,2009,521,"Love-letters--Virginia--History--19th century",topical
True,True,True,2010,422,"Suffrage--Virginia--History--19th century",topical
True,True,True,2011,509,"Diphtheria--North Carolina--History--20th century",topical
True,True,True,2012,461,"Elections--North Carolina--History--20th century",topical
True,True,True,2012,413,"Elections--North Carolina--History--20th century",topical
True,True,True,2012,565,"Elections--North Carolina--History--20th century",topical
True,True,True,2013,808,"Farm tenancy--North Carolina--History--20th century",topical
True,True,True,2013,342,"Farm tenancy--North Carolina--History--20th century",topical
True,True,True,2014,524,"General stores--North Carolina--History--20th century",topical
True,True,True,2015,438,"Judges--North Carolina--History--20th century",topical
True,True,True,2016,390,"Lawyers--North Carolina--History--20th century",topical
True,True,True,2016,460,"Lawyers--North Carolina--History--20th century",topical
True,True,True,2017,750,"Legislators--North Carolina--History--20th century",topical
True,True,True,2018,415,"Political campaigns--North Carolina--History--20th century",topical
True,True,True,2018,758,"Political campaigns--North Carolina--History--20th century",topical
True,True,True,2018,462,"Political campaigns--North Carolina--History--20th century",topical
True,True,True,2018,839,"Political campaigns--North Carolina--History--20th century",topical
